exercise,variant,n_reps,flagged,features,note
Bicep-Curl,clean,5,1,end_deg,
Bicep-Curl,too_fast,0,0,-,EXEC-ABORTED
Bicep-Curl,reduced_rom,5,5,rom_deg,
Bicep-Curl,tremor,5,5,hf_ratio,
Bicep-Curl,truncated,4,0,-,
Lateral-Delt-Raise,clean,5,4,dur_s,
Lateral-Delt-Raise,too_fast,5,0,-,
Lateral-Delt-Raise,reduced_rom,5,5,rom_deg,
Lateral-Delt-Raise,tremor,5,5,dur_s+hf_ratio,
Lateral-Delt-Raise,truncated,4,0,-,
Wand-Extension,clean,5,0,-,
Wand-Extension,too_fast,5,0,-,
Wand-Extension,reduced_rom,5,0,-,
Wand-Extension,tremor,5,5,hf_ratio,
Wand-Extension,truncated,4,0,-,
